confirmationnumber,client,program,exam,startdate,enddate,startschedulingdate,endschedulingdate
0000000097727211,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097728797,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097730454,NASD,1,S7TO,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097730569,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097731210,ABP,ABP,ICRIT,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097733137,ABP,ABP,IEMER,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097734133,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097734204,NASD,1,SIE,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097734430,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097734495,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097735203,CPA,CPA,FAR,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097735405,ABP,ABP,ICRIT,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097736390,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097736558,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097736783,NBME,MSS,MEDIC,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097740647,ABP,ABP,ICRIT,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097741745,ETS,PRA,A5331,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097743235,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097743766,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097744005,ABP,ABP,INEPH,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097744599,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097744854,ADA1,ADA1,DAT,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097744987,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097745608,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097747041,NASD,1,S7TO,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097747986,CPA,CPA,FAR,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097748632,NBCOT,NBCOT,COTA,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097748772,NCARB,ARE50,PCM,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097748774,ETS,PRA,A5752,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097749006,ABP,ABP,INEON,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097750336,ABP,ABP,ICARD,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097751159,ABP,ABP,IEMER,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097751761,ABP,ABP,ICARD,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097752511,NASD,1,S57TO,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097753157,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097756427,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097758096,CPA,CPA,AUD,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097758459,ETS,GRG,GNL,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097758541,NBME,STEP2,STEP2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097759237,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097760005,CPA,CPA,REG,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097760298,ABP,ABP,ICHAB,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097760506,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097760757,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097760758,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097760921,NCARB,ARE50,PCM,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097761880,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097762009,NASD,1,24,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097762820,ABP,ABP,IHEMO,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097762915,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097762916,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097763286,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097763287,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097763612,ASQ,ASQ,CQEEN,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097763845,NASD,1,S79TO,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097763993,CPA,CPA,FAR,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097764826,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097765101,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097765367,ETS,GRG,GNL,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097765388,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097765448,NASD,1,24,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097765897,NCARB,ARE50,PCM,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097766048,ADA1,OAT,OAT,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097766108,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097767107,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000094015901,NCARB,ARE50,PDD,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097367228,IRS,IRS,SEE1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097768372,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097768613,ABP,ABP,IGAST,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097769199,ABP,ABP,INEON,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097769521,ABP,ABP,INEON,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097770047,NCARB,ARE50,PCM,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097770120,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
